#creator_id: 'https://orcid.org/0000-0002-3884-3420'									
#curie_map: 									
#  alum8: 'http://www.neii.gov.au/def/voc/ACLUMP/australian-land-use-and-management-classification/'									
#  get: 'https://global-ecosystems.org/explore/'									
#  semapv: 'https://w3id.org/semapv/vocab/'									
#  skos: 'http://www.w3.org/2004/02/skos/core'									
#  xkos: 'http://rdf-vocabulary.ddialliance.org/xkos#'									
#license: 'https://creativecommons.org/publicdomain/zero/1.0/'									
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	author_id	mapping_date	confidence	comment
alum8:Roads	Roads	skos:broadMatch	get:groups/T7.4	T7.4 Urban and industrial ecosystems	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Railways	Railways	skos:broadMatch	get:groups/T7.4	T7.4 Urban and industrial ecosystems	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Ports-and-water-transport	Ports and water transport	skos:broadMatch	get:groups/T7.4	T7.4 Urban and industrial ecosystems	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Navigation-and-communication	Navigation and communication	skos:broadMatch	get:groups/T7.4	T7.4 Urban and industrial ecosystems	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Mining	Mining				semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Mines	Mines	skos:broadMatch	get:groups/T7.4	T7.4 Urban and industrial ecosystems	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Quarries	Quarries	skos:broadMatch	get:groups/T7.4	T7.4 Urban and industrial ecosystems	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Tailings	Tailings	skos:broadMatch	get:groups/T7.4	T7.4 Urban and industrial ecosystems	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Extractive-Industry-not-in-use	Extractive Industry not in use	skos:broadMatch	get:groups/T7.4	T7.4 Urban and industrial ecosystems	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Waste-treatment-and-disposal	Waste treatment and disposal				semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Effluent-pond	Effluent pond	skos:broadMatch	get:groups/T7.4	T7.4 Urban and industrial ecosystems	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Landfill	Landfill	skos:broadMatch	get:groups/T7.4	T7.4 Urban and industrial ecosystems	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Solid-garbage	Solid garbage	skos:broadMatch	get:groups/T7.4	T7.4 Urban and industrial ecosystems	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Incinerators	Incinerators	skos:broadMatch	get:groups/T7.4	T7.4 Urban and industrial ecosystems	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Sewage-or-sewerage	Sewage/sewerage	skos:broadMatch	get:groups/T7.4	T7.4 Urban and industrial ecosystems	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Lake	Lake				semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Lakeconservation	Lake - conservation	skos:broadMatch	get:biomes/F2	F2 Lakes	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Lakeproduction	Lake - production	skos:broadMatch	get:biomes/F2	F2 Lakes	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Lakeintensive-use	Lake - intensive use	skos:broadMatch	get:biomes/F2	F2 Lakes	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Lakesaline	Lake - saline	skos:narrowMatch	get:groups/F2.6	F2.6 Permanent salt and soda lakes	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Lakesaline	Lake - saline	skos:narrowMatch	get:groups/F2.7	F2.7 Ephemeral salt lakes	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Reservoir-or-dam	Reservoir/dam				semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Reservoir	Reservoir	skos:broadMatch	get:groups/F3.1	F3.1 Large reservoirs	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Water-storageintensive-use-or-farm-dams	Water storage - intensive use/farm dams	skos:broadMatch	get:groups/F3.1	F3.1 Large reservoirs	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Evaporation-basin	Evaporation basin	skos:broadMatch	get:groups/F3.1	F3.1 Large reservoirs	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:River	River				semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Riverconservation	River - conservation	skos:broadMatch	get:biomes/F1	F1 Rivers and streams	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Riverproduction	River - production	skos:broadMatch	get:biomes/F1	F1 Rivers and streams	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Riverintensive-use	River - intensive use	skos:broadMatch	get:biomes/F1	F1 Rivers and streams	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Channel-or-aqueduct	Channel/aqueduct				semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Supply-channel-or-aqueduct	Supply channel/aqueduct	skos:broadMatch	get:groups/F3.5	"F3.5 Canals, ditches and drains"	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Drainage-channel-or-aqueduct	Drainage channel/aqueduct	skos:broadMatch	get:groups/F3.5	"F3.5 Canals, ditches and drains"	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Stormwater	Stormwater	skos:broadMatch	get:groups/F3.5	"F3.5 Canals, ditches and drains"	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Marsh-or-wetland	Marsh/wetland				semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Marsh-or-wetlandconservation	Marsh/wetland - conservation	skos:broadMatch	get:biomes/TF1	TF1 Palustrine wetlands biome	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Marsh-or-wetlandproduction	Marsh/wetland - production	skos:broadMatch	get:biomes/TF1	TF1 Palustrine wetlands biome	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Marsh-or-wetlandintensive-use	Marsh/wetland - intensive use	skos:broadMatch	get:biomes/TF1	TF1 Palustrine wetlands biome	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Marsh-or-wetlandsaline	Marsh/wetland - saline	skos:exactMatch	get:groups/MFT1.3	MFT1.3 Coastal saltmarshes and reedbeds	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Estuary-or-coastal-waters	Estuary/coastal waters				semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Estuary-or-coastal-watersconservation	Estuary/coastal waters - conservation	skos:narrowMatch	get:biomes/FM1	FM1 Semi-confined transitional waters biome	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Estuary-or-coastal-watersconservation	Estuary/coastal waters - conservation	skos:narrowMatch	get:groups/MFT1.1	MFT1.1 Coastal river deltas	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Estuary-or-coastal-watersproduction	Estuary/coastal waters - production	skos:narrowMatch	get:biomes/FM1	FM1 Semi-confined transitional waters biome	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Estuary-or-coastal-watersproduction	Estuary/coastal waters - production	skos:narrowMatch	get:groups/MFT1.1	MFT1.1 Coastal river deltas	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Estuary-or-coastal-watersintensive-use	Estuary/coastal waters - intensive use	skos:narrowMatch	get:biomes/FM1	FM1 Semi-confined transitional waters biome	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
alum8:Estuary-or-coastal-watersintensive-use	Estuary/coastal waters - intensive use	skos:narrowMatch	get:groups/MFT1.1	MFT1.1 Coastal river deltas	semapv:ManualMappingCuration	mailto:Craig.Macfarlane@csiro.au	23-Dec		
