Value,REG_CODE_7,REG_NAME_7,MVG_NAME,MVS_NAME,count,pct,count.Extant,pct.Extant,EFG_DK,EFG_IBRA_MVS,EFG_IBRA_MVG,EGF_CM,EFG_combined
564,CYP,Cape York Peninsula,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,20281,0.0026,949060,0.1235,T4.2,T4.2,T4.2,,T4.2
565,CYP,Cape York Peninsula,Eucalypt Low Open Forests,Eucalyptus open forests with a grassy understorey,11806,0.0015,10854,0.0014,T4.2,T4.2,T4.2,,T4.2
566,CYP,Cape York Peninsula,Eucalypt Woodlands,Eucalyptus open forests with a grassy understorey,537,0.0001,,,,T4.2,T4.2,,T4.2
567,CYP,Cape York Peninsula,Rainforests and Vine Thickets,Warm temperate rainforest,183,0,80,0,"T1.1, 0.51; T1.3, 0.49","T1.1, 0.51; T1.3, 0.49","T1.2, 0.7; MT2.1, 0.2; TF1.1, 0.1",,"T1.1, 0.51; T1.3, 0.49"
568,CYP,Cape York Peninsula,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,20250,0.0026,,,,,,,
569,CYP,Cape York Peninsula,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,11562,0.0015,113836,0.0148,T4.2,T4.2,T4.2,,T4.2
570,CYP,Cape York Peninsula,Eucalypt Open Forests,Eucalyptus woodlands with a tussock grass understorey,37789,0.0049,,,,T4.2,T4.2,,T4.2
571,CYP,Cape York Peninsula,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,7482287,0.9739,6639634,0.8638,T4.2,T4.2,T4.2,,T4.2
572,CYP,Cape York Peninsula,Eucalypt Woodlands,Eucalyptus woodlands with a hummock grass understorey,2719,0.0004,,,,,T4.2,,T4.2
573,CYP,Cape York Peninsula,Other Forests and Woodlands,Tropical mixed spp forests and woodlands,134515,0.0175,12012,0.0016,T4.2,T4.2,T4.2,,T4.2
574,CYP,Cape York Peninsula,Callitris Forests and Woodlands,Callitris forests and woodlands,3504,0.0005,,,,,,,
575,CYP,Cape York Peninsula,Acacia Forests and Woodlands,Other Acacia forests and woodlands,80039,0.0104,214691,0.0279,"T1.2, 0.8; MT2.1, 0.1; TF1.1, 0.1","T1.2, 0.8; MT2.1, 0.1; TF1.1, 0.1","T1.2, 0.8; MT2.1, 0.1; TF1.1, 0.1",,"T1.2, 0.8; MT2.1, 0.1; TF1.1, 0.1"
576,CYP,Cape York Peninsula,Melaleuca Forests and Woodlands,Melaleuca open forests and woodlands,423705,0.0552,1827818,0.2378,"TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2","TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2","TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2",,"TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2"
577,CYP,Cape York Peninsula,Other Forests and Woodlands,Other forests and woodlands,107179,0.014,328141,0.0427,"T4.2, 0.4;T3.2, 0.1; TF1.4, 0.5","T4.2, 0.4;T3.2, 0.1; TF1.4, 0.5",T4.2,,"T4.2, 0.4;T3.2, 0.1; TF1.4, 0.5"
578,CYP,Cape York Peninsula,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,26885,0.0035,443580,0.0577,T4.2,T4.2,T4.2,,T4.2
579,CYP,Cape York Peninsula,Acacia Open Woodlands,Acacia (+/- low) open woodlands and shrublands +/- tussock grass,24,0,,,,,,,
580,CYP,Cape York Peninsula,Acacia Open Woodlands,Acacia (+/- low) open woodlands and sparse shrublands with a shrubby understorey,290,0,,,,,,,
581,CYP,Cape York Peninsula,Casuarina Forests and Woodlands,Casuarina and Allocasuarina forests and woodlands,318,0,53375,0.0069,"T4.2, 0.55; T4.3,0.4;  T3.1, 0.05","T4.2, 0.55; T4.3,0.4;  T3.1, 0.05","T4.2, 0.55; T4.3,0.4;  T3.1, 0.05",,"T4.2, 0.55; T4.3,0.4;  T3.1, 0.05"
582,CYP,Cape York Peninsula,Rainforests and Vine Thickets,"Low closed forest or tall closed shrublands (including Acacia, Melaleuca and Banksia)",5,0,,,,,"T1.2, 0.7; MT2.1, 0.2; TF1.1, 0.1",,"T1.2, 0.7; MT2.1, 0.2; TF1.1, 0.1"
583,CYP,Cape York Peninsula,Low Closed Forests and Tall Closed Shrublands,"Low closed forest or tall closed shrublands (including Acacia, Melaleuca and Banksia)",5091,0.0007,,,,,,,
584,CYP,Cape York Peninsula,Heathlands,Heathlands,226456,0.0295,367099,0.0478,T3.1,T3.1,T3.1,,T3.1
585,CYP,Cape York Peninsula,Other Shrublands,Other shrublands,249533,0.0325,16223,0.0021,T1.2,T1.2,T1.2,,T1.2
586,CYP,Cape York Peninsula,Tussock Grasslands,Other tussock grasslands,151606,0.0197,239619,0.0312,"T4.2, 0.51; T4.5, 0.49","T4.2, 0.51; T4.5, 0.49","T4.2, 0.51; T4.5, 0.49",,"T4.2, 0.51; T4.5, 0.49"
587,CYP,Cape York Peninsula,Tussock Grasslands,"Wet tussock grassland with herbs, sedges or rushes, herblands or ferns",48,0,,,,TF1.4,"T4.2, 0.51; T4.5, 0.49",,TF1.4
588,CYP,Cape York Peninsula,"Other Grasslands, Herblands, Sedgelands and Rushlands","Wet tussock grassland with herbs, sedges or rushes, herblands or ferns",267514,0.0348,184628,0.024,TF1.4,TF1.4,TF1.4,,TF1.4
589,CYP,Cape York Peninsula,"Chenopod Shrublands, Samphire Shrublands and Forblands","Mixed chenopod, samphire +/- forbs",96819,0.0126,,,,,,MFT1.3,MFT1.3
590,CYP,Cape York Peninsula,Mangroves,Mangroves,156060,0.0203,155498,0.0202,MFT1.2,MFT1.2,MFT1.2,,MFT1.2
591,CYP,Cape York Peninsula,"Other Grasslands, Herblands, Sedgelands and Rushlands",Saline or brackish sedgelands or grasslands,16251,0.0021,,,,,TF1.4,,TF1.4
592,CYP,Cape York Peninsula,"Naturally bare - sand, rock, claypan, mudflat","Naturally bare, sand, rock, claypan, mudflat",13664,0.0018,12643,0.0016,"F2.5, 0.2; MT2.1, 0.8","F2.5, 0.2; MT2.1, 0.8","F2.5, 0.2; MT2.1, 0.8",,"F2.5, 0.2; MT2.1, 0.8"
593,CYP,Cape York Peninsula,"Inland aquatic - freshwater, salt lakes, lagoons","Freshwater, dams, lakes, lagoons or aquatic plants",7160,0.0009,7620,0.001,"TF1.3, 0.1;TF1.4, 0.6; F2.3, 0.3","TF1.3, 0.1;TF1.4, 0.6; F2.3, 0.3","TF1.3, 0.1;TF1.4, 0.6; F2.3, 0.3",,"TF1.3, 0.1;TF1.4, 0.6; F2.3, 0.3"
594,CYP,Cape York Peninsula,Sea and estuaries,"Sea, estuaries (includes seagrass)",25474,0.0033,29457,0.0038,"FM1.2, 0.51; M1.1, 0.49","FM1.2, 0.51; M1.1, 0.49","FM1.2, 0.51; M1.1, 0.49",,"FM1.2, 0.51; M1.1, 0.49"
595,CYP,Cape York Peninsula,Eucalypt Open Woodlands,Eucalyptus open woodlands with shrubby understorey,1071,0.0001,,,,,T4.2,,T4.2
596,CYP,Cape York Peninsula,Eucalypt Open Woodlands,Eucalyptus open woodlands with a grassy understorey,519138,0.0676,,,,,T4.2,,T4.2
597,CYP,Cape York Peninsula,Other Shrublands,Melaleuca shrublands and open shrublands,20014,0.0026,9205,0.0012,T4.2,T4.2,T1.2,,T4.2
598,CYP,Cape York Peninsula,Eucalypt Open Woodlands,Eucalyptus low open woodlands with a shrubby understorey,4481,0.0006,290,0,TF1.2,TF1.2,T4.2,,TF1.2
599,CYP,Cape York Peninsula,Eucalypt Woodlands,"Eucalyptus woodlands with ferns, herbs, sedges, rushes or wet tussock grassland",282940,0.0368,23577,0.0031,TF1.2,TF1.2,T4.2,,TF1.2
600,CYP,Cape York Peninsula,Rainforests and Vine Thickets,Dry rainforest or vine thickets,326998,0.0426,204127,0.0266,"T1.2, 0.7; MT2.1, 0.2; TF1.1, 0.1","T1.2, 0.7; MT2.1, 0.2; TF1.1, 0.1","T1.2, 0.7; MT2.1, 0.2; TF1.1, 0.1",,"T1.2, 0.7; MT2.1, 0.2; TF1.1, 0.1"
601,CYP,Cape York Peninsula,Low Closed Forests and Tall Closed Shrublands,Dry rainforest or vine thickets,1877,0.0002,,,,"T1.2, 0.7; MT2.1, 0.2; TF1.1, 0.1",,,"T1.2, 0.7; MT2.1, 0.2; TF1.1, 0.1"
602,CYP,Cape York Peninsula,"Other Grasslands, Herblands, Sedgelands and Rushlands","Sedgelands, rushes or reeds",63924,0.0083,65214,0.0085,TF1.4,TF1.4,TF1.4,,TF1.4
603,CYP,Cape York Peninsula,"Other Grasslands, Herblands, Sedgelands and Rushlands",Other grasslands,7368,0.001,11,0,"MT2.1, 0.3; T3.1, 0.7","MT2.1, 0.3; T3.1, 0.7",TF1.4,,"MT2.1, 0.3; T3.1, 0.7"
604,CYP,Cape York Peninsula,Other Open Woodlands,Melaleuca open woodlands,1225665,0.1595,,,,,,T1.1,T1.1
605,CYP,Cape York Peninsula,Other Open Woodlands,Other open woodlands,15659,0.002,,,,,,,
606,CYP,Cape York Peninsula,Mallee Open Woodlands and Sparse Mallee Shrublands,Unknown/no data,142,0,,,,,,,
607,DAB,Daly Basin,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,210979,0.0275,211936,0.0276,T4.2,T4.2,T4.2,,T4.2
608,DAB,Daly Basin,Eucalypt Low Open Forests,Eucalyptus open forests with a grassy understorey,7091,0.0009,6105,0.0008,,T4.2,T4.3,,T4.2
609,DAB,Daly Basin,Eucalypt Open Forests,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,9666,0.0013,,,,T4.2,T4.2,,T4.2
610,DAB,Daly Basin,Eucalypt Woodlands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,377655,0.0492,,,,T4.2,T4.2,,T4.2
611,DAB,Daly Basin,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,804665,0.1047,799376,0.104,T4.2,T4.2,T4.2,,T4.2
612,DAB,Daly Basin,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,365350,0.0476,675341,0.0879,T4.2,T4.2,T4.2,,T4.2
613,DAB,Daly Basin,Eucalypt Woodlands,Eucalyptus woodlands with a hummock grass understorey,32343,0.0042,7431,0.001,T4.3,T4.3,T4.2,,T4.3
614,DAB,Daly Basin,Other Forests and Woodlands,Tropical mixed spp forests and woodlands,5648,0.0007,5623,0.0007,T4.2,T4.2,T4.2,,T4.2
615,DAB,Daly Basin,Acacia Forests and Woodlands,Other Acacia forests and woodlands,9387,0.0012,9340,0.0012,T4.3,T4.3,T4.3,,T4.3
616,DAB,Daly Basin,Melaleuca Forests and Woodlands,Melaleuca open forests and woodlands,43550,0.0057,38598,0.005,"TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2","TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2","TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2",,"TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2"
617,DAB,Daly Basin,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,17022,0.0022,16992,0.0022,T4.3,T4.3,T4.2,,T4.3
618,DAB,Daly Basin,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,27754,0.0036,2346,0.0003,T4.2,T4.2,T4.2,,T4.2
619,DAB,Daly Basin,Eucalypt Open Woodlands,Eucalyptus open woodlands with a grassy understorey,159169,0.0207,61157,0.008,T4.2,T4.2,T4.2,,T4.2
620,DAB,Daly Basin,Rainforests and Vine Thickets,Dry rainforest or vine thickets,2125,0.0003,2115,0.0003,T1.2,T1.2,T1.2,,T1.2
621,DAB,Daly Basin,Other Open Woodlands,Melaleuca open woodlands,9735,0.0013,4084,0.0005,"TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2","TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2","TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2",,"TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2"
622,DAB,Daly Basin,Other Open Woodlands,Other open woodlands,1640,0.0002,1614,0.0002,T4.2,T4.2,"TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2",,T4.2
623,DAB,Daly Basin,Unclassified Forest,Unclassified native vegetation,8425,0.0011,,,,,,,
624,DAC,Darwin Coastal,Eucalypt Open Forests,Eucalyptus open forests with a grassy understorey,636009,0.0828,634983,0.0826,T4.2,T4.2,T4.2,,T4.2
625,DAC,Darwin Coastal,Eucalypt Low Open Forests,Eucalyptus open forests with a grassy understorey,10304,0.0013,3646,0.0005,,T4.2,T4.3,,T4.2
626,DAC,Darwin Coastal,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,315958,0.0411,259399,0.0337,T4.2,T4.2,T4.2,,T4.2
627,DAC,Darwin Coastal,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,559725,0.0729,542102,0.0705,T4.2,T4.2,T4.2,,T4.2
628,DAC,Darwin Coastal,Eucalypt Woodlands,Eucalyptus woodlands with a hummock grass understorey,21942,0.0029,,,,,T4.2,,T4.2
629,DAC,Darwin Coastal,Other Forests and Woodlands,Tropical mixed spp forests and woodlands,3161,0.0004,66686,0.0087,T4.2,T4.2,T4.2,,T4.2
630,DAC,Darwin Coastal,Melaleuca Forests and Woodlands,Melaleuca open forests and woodlands,242278,0.0315,240037,0.0312,"TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2","TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2","TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2",,"TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2"
631,DAC,Darwin Coastal,Other Forests and Woodlands,Other forests and woodlands,75439,0.0098,,,,,T4.2,,T4.2
632,DAC,Darwin Coastal,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,9997,0.0013,9998,0.0013,T4.3,T4.3,T4.2,,T4.3
633,DAC,Darwin Coastal,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,1287,0.0002,27,0,T4.2,T4.2,T4.2,,T4.2
634,DAC,Darwin Coastal,Casuarina Forests and Woodlands,Casuarina and Allocasuarina forests and woodlands,498,0.0001,498,0.0001,MT2.1,MT2.1,MT2.1,,MT2.1
635,DAC,Darwin Coastal,Tussock Grasslands,Other tussock grasslands,1011,0.0001,,,,,,,
636,DAC,Darwin Coastal,"Other Grasslands, Herblands, Sedgelands and Rushlands","Wet tussock grassland with herbs, sedges or rushes, herblands or ferns",607626,0.0791,599867,0.078,TF1.4,TF1.4,TF1.4,,TF1.4
637,DAC,Darwin Coastal,Mangroves,Mangroves,104995,0.0137,104828,0.0136,MFT1.2,MFT1.2,MFT1.2,,MFT1.2
638,DAC,Darwin Coastal,"Chenopod Shrublands, Samphire Shrublands and Forblands","Naturally bare, sand, rock, claypan, mudflat",100847,0.0131,,,,,"MT1.2, 0.6; MFT1.3, 0.4",,"MT1.2, 0.6; MFT1.3, 0.4"
639,DAC,Darwin Coastal,Eucalypt Open Woodlands,Eucalyptus open woodlands with a grassy understorey,23635,0.0031,14443,0.0019,T4.2,T4.2,T4.2,,T4.2
640,DAC,Darwin Coastal,Rainforests and Vine Thickets,Dry rainforest or vine thickets,36632,0.0048,35781,0.0047,T1.2,T1.2,T1.2,,T1.2
641,DAC,Darwin Coastal,Acacia Open Woodlands,Dry rainforest or vine thickets,68,0,,,,T1.2,,,T1.2
642,DAC,Darwin Coastal,"Other Grasslands, Herblands, Sedgelands and Rushlands",Other grasslands,15304,0.002,,,,,TF1.4,,TF1.4
643,DAC,Darwin Coastal,Other Open Woodlands,Casuarina and Allocasuarina open woodlands with a shrubby understorey,18,0,39,0,MT2.1,MT2.1,"TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2",,MT2.1
644,DAC,Darwin Coastal,Other Open Woodlands,Melaleuca open woodlands,32813,0.0043,32325,0.0042,"TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2","TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2","TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2",,"TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2"
645,DAC,Darwin Coastal,Other Open Woodlands,Other open woodlands,10965,0.0014,9814,0.0013,T4.2,T4.2,"TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2",,T4.2
646,DAC,Darwin Coastal,Unclassified Forest,Unclassified forest,311,0,,,,,,,
647,DAC,Darwin Coastal,Unclassified Forest,Unclassified native vegetation,8767,0.0011,,,,,,,
648,DAL,Dampierland,Tropical Eucalypt Woodlands/Grasslands,Tropical Eucalyptus forest and woodlands with a tall annual grassy understorey,43858,0.0057,,,,,,,
649,DAL,Dampierland,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,1449089,0.1886,1449309,0.1885,T4.3,T4.3,T4.3,,T4.3
650,DAL,Dampierland,Other Forests and Woodlands,Tropical mixed spp forests and woodlands,61485,0.008,,,,,,,
651,DAL,Dampierland,Melaleuca Forests and Woodlands,Melaleuca open forests and woodlands,6747,0.0009,6713,0.0009,TF1.2,TF1.2,TF1.2,,TF1.2
652,DAL,Dampierland,Other Forests and Woodlands,Other forests and woodlands,25952,0.0034,,,,,,,
653,DAL,Dampierland,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,1851,0.0002,,,,,,,
654,DAL,Dampierland,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,46123,0.006,,,,,,,
655,DAL,Dampierland,Acacia Open Woodlands,Other Acacia tall open shrublands and [tall] shrublands,61431,0.008,,,,T4.3,,,T4.3
656,DAL,Dampierland,Acacia Shrublands,Other Acacia tall open shrublands and [tall] shrublands,3994390,0.5199,4057601,0.5279,T4.3,T4.3,T4.3,,T4.3
657,DAL,Dampierland,Hummock Grasslands,Other Acacia tall open shrublands and [tall] shrublands,6774,0.0009,,,,T4.3,"T4.3, 0.3; T5.3, 0.7",,T4.3
658,DAL,Dampierland,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands with hummock grass,5773,0.0008,,,,,T4.3,,T4.3
659,DAL,Dampierland,Hummock Grasslands,Acacia (+/- low) open woodlands and shrublands with hummock grass,174127,0.0227,,,,,"T4.3, 0.3; T5.3, 0.7",,"T4.3, 0.3; T5.3, 0.7"
660,DAL,Dampierland,Other Shrublands,Other shrublands,151417,0.0197,,,,,TF1.5,,TF1.5
661,DAL,Dampierland,Hummock Grasslands,Hummock grasslands,350195,0.0456,694077,0.0903,"T4.3, 0.3; T5.3, 0.7","T4.3, 0.3; T5.3, 0.7","T4.3, 0.3; T5.3, 0.7",,"T4.3, 0.3; T5.3, 0.7"
662,DAL,Dampierland,Tussock Grasslands,Mitchell grass (Astrebla) tussock grasslands,18847,0.0025,401233,0.0522,"T4.2, 0.51; T4.5, 0.49","T4.2, 0.51; T4.5, 0.49",T4.3,,"T4.2, 0.51; T4.5, 0.49"
663,DAL,Dampierland,Tussock Grasslands,Blue grass (Dicanthium) and tall bunch grass (Vitiveria syn: Chrysopogon) tussock grasslands,28102,0.0037,511892,0.0666,"T4.5, 0.9; T4.2, 0.1","T4.5, 0.9; T4.2, 0.1",T4.3,,"T4.5, 0.9; T4.2, 0.1"
664,DAL,Dampierland,Tussock Grasslands,Other tussock grasslands,884457,0.1151,283244,0.0368,T4.3,T4.3,T4.3,,T4.3
665,DAL,Dampierland,Mangroves,Mangroves,21816,0.0028,22973,0.003,MFT1.2,MFT1.2,MFT1.2,,MFT1.2
666,DAL,Dampierland,"Naturally bare - sand, rock, claypan, mudflat","Naturally bare, sand, rock, claypan, mudflat",172011,0.0224,168257,0.0219,MT1.2,MT1.2,MT1.2,,MT1.2
667,DAL,Dampierland,"Inland aquatic - freshwater, salt lakes, lagoons",Salt lakes and lagoons,6640,0.0009,6640,0.0009,F2.7,F2.7,F2.7,,F2.7
668,DAL,Dampierland,"Inland aquatic - freshwater, salt lakes, lagoons","Freshwater, dams, lakes, lagoons or aquatic plants",257,0,257,0,F2.3,F2.3,F2.7,,F2.3
669,DAL,Dampierland,Eucalypt Open Woodlands,Eucalyptus open woodlands with shrubby understorey,98456,0.0128,,,,,,T4.2,T4.2
670,DAL,Dampierland,Eucalypt Open Woodlands,Eucalyptus open woodlands with a grassy understorey,32492,0.0042,,,,,,,
671,DAL,Dampierland,Other Shrublands,Melaleuca shrublands and open shrublands,14662,0.0019,14662,0.0019,TF1.5,TF1.5,TF1.5,,TF1.5
672,DAL,Dampierland,"Other Grasslands, Herblands, Sedgelands and Rushlands",Other grasslands,264859,0.0345,,,,,MFT1.3,,MFT1.3
673,DAL,Dampierland,Other Open Woodlands,Other open woodlands,422162,0.055,404393,0.0526,T4.2,T4.2,T4.2,,T4.2
674,DEU,Desert Uplands,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,6830,0.0009,8926,0.0012,T4.2,T4.2,T4.2,,T4.2
675,DEU,Desert Uplands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,465027,0.0605,174718,0.0227,T4.2,T4.2,T4.2,,T4.2
676,DEU,Desert Uplands,Acacia Forests and Woodlands,Brigalow (Acacia harpophylla) forests and woodlands,59548,0.0078,8369,0.0011,"T1.2, 0.2; T5.6, 0.8","T1.2, 0.2; T5.6, 0.8",T5.6,,"T1.2, 0.2; T5.6, 0.8"
677,DEU,Desert Uplands,Acacia Open Woodlands,Brigalow (Acacia harpophylla) forests and woodlands,24573,0.0032,18429,0.0024,"T1.2, 0.2; T5.6, 0.8","T1.2, 0.2; T5.6, 0.8","T4.3, 0.8; T5.3, 0.2",,"T1.2, 0.2; T5.6, 0.8"
678,DEU,Desert Uplands,Acacia Forests and Woodlands,Other Acacia forests and woodlands,385751,0.0502,161225,0.021,T5.6,T5.6,T5.6,,T5.6
679,DEU,Desert Uplands,Melaleuca Forests and Woodlands,Melaleuca open forests and woodlands,22280,0.0029,32149,0.0042,"TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2","TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2","TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2",,"TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2"
680,DEU,Desert Uplands,Acacia Open Woodlands,Melaleuca open forests and woodlands,8829,0.0011,,,,"TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2","T4.3, 0.8; T5.3, 0.2",,"TF1.2, 0.3; TF1.4, 0.5, T4.2, 0.2"
681,DEU,Desert Uplands,Other Forests and Woodlands,Other forests and woodlands,1379,0.0002,35993,0.0047,T4.2,T4.2,T4.2,,T4.2
682,DEU,Desert Uplands,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,345822,0.045,2507562,0.3262,"T4.3, 0.55; T4.2, 0.45","T4.3, 0.55; T4.2, 0.45","T4.3, 0.55; T4.2, 0.45",,"T4.3, 0.55; T4.2, 0.45"
683,DEU,Desert Uplands,Eucalypt Open Woodlands,Eucalyptus low open woodlands with tussock grass,973,0.0001,926105,0.1205,"T4.2, 0.6; T4.3, 0.4","T4.2, 0.6; T4.3, 0.4","T4.3, 0.55; T4.2, 0.45",,"T4.2, 0.6; T4.3, 0.4"
684,DEU,Desert Uplands,Acacia Open Woodlands,Acacia (+/- low) open woodlands and shrublands with hummock grass,5287,0.0007,5292,0.0007,T4.3,T4.3,"T4.3, 0.8; T5.3, 0.2",,T4.3
685,DEU,Desert Uplands,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands with hummock grass,5574,0.0007,5557,0.0007,T4.3,T4.3,T4.3,,T4.3
686,DEU,Desert Uplands,Acacia Open Woodlands,Acacia (+/- low) open woodlands and shrublands +/- tussock grass,492394,0.0641,331007,0.0431,"T4.3, 0.8; T5.3, 0.2","T4.3, 0.8; T5.3, 0.2","T4.3, 0.8; T5.3, 0.2",,"T4.3, 0.8; T5.3, 0.2"
687,DEU,Desert Uplands,Acacia Shrublands,Acacia (+/- low) open woodlands and shrublands +/- tussock grass,2397,0.0003,,,,"T4.3, 0.8; T5.3, 0.2",T4.3,,"T4.3, 0.8; T5.3, 0.2"
688,DEU,Desert Uplands,Casuarina Forests and Woodlands,Casuarina and Allocasuarina forests and woodlands,1600,0.0002,1582,0.0002,"T1.2, 0.2; T5.6, 0.8","T1.2, 0.2; T5.6, 0.8","T1.2, 0.2; T5.6, 0.8",,"T1.2, 0.2; T5.6, 0.8"
689,DEU,Desert Uplands,"Chenopod Shrublands, Samphire Shrublands and Forblands",Saltbush and bluebush shrublands,5049,0.0007,,,,,"F2.5, 0.7; TF1.5, 0.3",,"F2.5, 0.7; TF1.5, 0.3"
690,DEU,Desert Uplands,Other Shrublands,Other shrublands,6694,0.0009,,,,,T4.2,,T4.2
691,DEU,Desert Uplands,Hummock Grasslands,Hummock grasslands,59556,0.0078,59348,0.0077,"T4.3, 0.6; T5.3, 0.4","T4.3, 0.6; T5.3, 0.4","T4.3, 0.6; T5.3, 0.4",,"T4.3, 0.6; T5.3, 0.4"
692,DEU,Desert Uplands,Tussock Grasslands,Mitchell grass (Astrebla) tussock grasslands,27812,0.0036,101417,0.0132,"T4.5, 0.9; T5.1, 0.1","T4.5, 0.9; T5.1, 0.1","T4.5, 0.9; T4.2, 0.1",,"T4.5, 0.9; T5.1, 0.1"
693,DEU,Desert Uplands,Tussock Grasslands,Blue grass (Dicanthium) and tall bunch grass (Vitiveria syn: Chrysopogon) tussock grasslands,120799,0.0157,5265,0.0007,"T4.5, 0.9; T4.2, 0.1","T4.5, 0.9; T4.2, 0.1","T4.5, 0.9; T4.2, 0.1",,"T4.5, 0.9; T4.2, 0.1"
694,DEU,Desert Uplands,Tussock Grasslands,Other tussock grasslands,116069,0.0151,170588,0.0222,"T4.2, 0.2; T4.5, 0.8","T4.2, 0.2; T4.5, 0.8","T4.5, 0.9; T4.2, 0.1",,"T4.2, 0.2; T4.5, 0.8"
695,DEU,Desert Uplands,Tussock Grasslands,"Wet tussock grassland with herbs, sedges or rushes, herblands or ferns",11423,0.0015,,,,TF1.5,"T4.5, 0.9; T4.2, 0.1",,TF1.5
696,DEU,Desert Uplands,"Other Grasslands, Herblands, Sedgelands and Rushlands","Wet tussock grassland with herbs, sedges or rushes, herblands or ferns",57011,0.0074,22490,0.0029,TF1.5,TF1.5,TF1.5,,TF1.5
697,DEU,Desert Uplands,"Chenopod Shrublands, Samphire Shrublands and Forblands","Mixed chenopod, samphire +/- forbs",28500,0.0037,28042,0.0036,"F2.5, 0.7; TF1.5, 0.3","F2.5, 0.7; TF1.5, 0.3","F2.5, 0.7; TF1.5, 0.3",,"F2.5, 0.7; TF1.5, 0.3"
698,DEU,Desert Uplands,"Naturally bare - sand, rock, claypan, mudflat","Naturally bare, sand, rock, claypan, mudflat",13533,0.0018,31738,0.0041,"F2.5, 0.3; T4.2, 0.1; TF1.5, 0.5","F2.5, 0.3; T4.2, 0.1; TF1.5, 0.5","F2.5, 0.3; T4.2, 0.1; TF1.5, 0.5",,"F2.5, 0.3; T4.2, 0.1; TF1.5, 0.5"
699,DEU,Desert Uplands,"Inland aquatic - freshwater, salt lakes, lagoons","Freshwater, dams, lakes, lagoons or aquatic plants",21995,0.0029,2895,0.0004,"F2.5, 0.51; TF1.5, 0.49","F2.5, 0.51; TF1.5, 0.49","F2.5, 0.51; TF1.5, 0.49",,"F2.5, 0.51; TF1.5, 0.49"
